,postcode,avg_growth
0,11434,0.045733058448888246
1,11429,0.045559727580240385
2,11418,0.053615033916084485
3,11362,0.05327491673887158
4,10003,0.09779132401392913
5,10014,0.09742625123032185
6,10457,0.07924341745788131
7,10025,0.07851991310749559
8,11374,0.07279438048579168
9,10458,0.07257199954230699
10,11385,0.06914226334639322
11,10459,0.06803069495860416
12,10473,0.05203046091145648
13,11697,0.05159581220528274
14,10282,0.05116733606805548
15,10471,0.05110856452489327
16,10065,0.04945891945123991
17,11428,0.04881177919458955
18,11238,0.1827217635682081
19,11201,0.15431844605445047
20,11216,0.1397543518607684
21,10037,0.13804073112783707
22,10027,0.1200315706446375
23,10018,0.11763269609988951
24,11230,0.08493775896087925
25,10038,0.0811707395151203
26,10307,0.0468905524148669
27,11430,0.04675722324510064
28,12345,-0.025079444110392667
29,11366,0.062345457611961086
30,10304,0.061435632149467775
31,10280,0.061123470090520285
32,11371,0.060385232638363776
33,10309,0.060336845124215825
34,11432,0.059052535120667014
35,11210,0.058590763405705217
36,10128,0.057609068333928516
37,11357,0.057493922919053565
38,10467,0.055696806836722124
39,11203,0.052255069880285866
40,11360,0.050574551524406895
41,11040,0.050334086084532915
42,11426,0.048332622846412016
43,10314,0.047842820491116066
44,11416,0.047381474349729925
45,11433,0.046667128722878704
46,10004,0.045512623931415905
47,11423,0.045312830937038896
48,10301,0.045196659510451855
49,10302,0.043240964600078334
50,11001,0.042467193283586425
51,10306,0.042103297168929986
52,11363,0.040679814394262846
53,11420,0.040617730525350504
54,11436,0.040536773062343184
55,10465,0.039041630277111945
56,10466,0.037094764502374686
57,10469,0.036917786069610825
58,10475,0.031490344594024916
59,10464,0.025461332166160564
60,10044,0.019946593762197987
61,11101,0.25703302218613533
62,10039,0.25148333130134204
63,11205,0.14997851573883472
64,11239,0.14700196120512302
65,10011,0.13646951055952744
66,10454,0.13512987479980212
67,10010,0.13407540466631648
68,11231,0.13362300618026776
69,11211,0.13301088449380008
70,11206,0.13299164032092503
71,10036,0.13120443496240217
72,10451,0.12831868445152272
73,11217,0.12537623778640147
74,11213,0.12334716150304792
75,10455,0.11181729500108145
76,10007,0.11117274226115634
77,11215,0.10932707547973598
78,11225,0.10903716638643715
79,10001,0.10900680856587262
80,10013,0.10861050545404019
81,11233,0.10726901841518624
82,10006,0.10365762461900817
83,10009,0.09996458981876857
84,10002,0.09937405589077208
85,10031,0.09880376037488846
86,10033,0.09785084388534022
87,10026,0.09548144736664914
88,11232,0.09451878820746076
89,10029,0.09343972194811129
90,10030,0.09125408067215193
91,11219,0.09099931258622562
92,11220,0.08953306899419926
93,11226,0.08915280638924222
94,11102,0.08839546963849357
95,11218,0.08653813252205511
96,11692,0.08601884337025935
97,10034,0.08561577076411654
98,11224,0.08511438532041593
99,10456,0.08021475522456308
100,10452,0.07934414434357129
101,11104,0.07827033586351091
102,11372,0.07745379297743131
103,11223,0.07743077753954439
104,11235,0.07711448219100274
105,10069,0.07696019620729702
106,10024,0.07679252362920248
107,11106,0.07666791879819658
108,11214,0.07619323899527612
109,11204,0.07565951220428287
110,10460,0.07432532252445469
111,11377,0.07429466620658189
112,11228,0.07339592236724422
113,10040,0.07238416628678652
114,10035,0.07219109892973498
115,10016,0.07197965878331318
116,11103,0.07126608023474926
117,11251,0.07071681566082146
118,11207,0.07069332100818168
119,10005,0.07001532622157877
120,11105,0.06964979331923499
121,11373,0.06766146281902391
122,11375,0.06735083030297057
123,11367,0.06723600313382268
124,11355,0.06692823132775202
125,10028,0.06669035652204253
126,11415,0.06495882464173999
127,10075,0.06489101240643101
128,10462,0.06482979314614246
129,11378,0.06414483582629639
130,11109,0.06322545281898041
131,11368,0.06274235435499692
132,11229,0.06272297961366186
133,11365,0.06210955480780581
134,10453,0.06199440391044589
135,11356,0.06094663852587077
136,11358,0.06089635560749663
137,11370,0.06069632064920681
138,11361,0.05878048107951066
139,11379,0.05686331684410812
140,10803,0.05659398105534187
141,10463,0.05639001460639708
142,11242,0.05607107322111912
143,11364,0.05575082284704852
144,11369,0.05514777290225854
145,11435,0.05287364620818673
146,11421,0.05274953541506695
147,10021,0.05229430166640737
148,10312,0.05110605028090502
149,11004,0.04757785534278009
150,11427,0.04703168025179834
151,11208,0.04534010590080879
152,11234,0.04405165029943416
153,10474,0.04345820207719324
154,10305,0.04307728789247604
155,11412,0.04243332016950174
156,11417,0.04208223605725198
157,11691,0.04198957876614624
158,11422,0.04138909411900856
159,11419,0.04067778555944109
160,10308,0.04039647288039419
161,10017,0.03970801773861778
162,10310,0.03884096737199385
163,11411,0.03864438321649696
164,10472,0.03761140218060586
165,11236,0.03714422919869729
166,10461,0.03616874938092248
167,10303,0.03395570143379066
168,11212,0.03235646562330711
169,11693,0.03178610150893998
170,11005,0.02811226528475588
171,11249,0.2853149888541515
172,11354,0.2632505401121272
173,10032,0.1261960270174591
174,11221,0.1238459066574327
175,11237,0.1052921726420204
176,10012,0.1016595550815117
177,10162,0.0952559949610849
178,11209,0.0753726743719979
179,10468,0.0719996536651243
180,10019,0.0696843671022934
181,10023,0.0647927893841051
182,10022,0.0571623150525169
183,11694,0.0395459934966947
184,11414,0.0318995040067782
185,10470,0.0309944293119796
186,11222,0.149705283611401
187,11413,0.042401676411781
