,zip1,2010_modify_cnt,2011_modify_cnt,2012_modify_cnt,2013_modify_cnt,2014_modify_cnt,2015_modify_cnt,2016_modify_cnt,2017_modify_cnt,2018_modify_cnt,2019_modify_cnt,2010_install_cnt,2011_install_cnt,2012_install_cnt,2013_install_cnt,2014_install_cnt,2015_install_cnt,2016_install_cnt,2017_install_cnt,2018_install_cnt,2019_install_cnt,2010_new_cnt,2011_new_cnt,2012_new_cnt,2013_new_cnt,2014_new_cnt,2015_new_cnt,2016_new_cnt,2017_new_cnt,2018_new_cnt,2019_new_cnt,2010_demolition_cnt,2011_demolition_cnt,2012_demolition_cnt,2013_demolition_cnt,2014_demolition_cnt,2015_demolition_cnt,2016_demolition_cnt,2017_demolition_cnt,2018_demolition_cnt,2019_demolition_cnt,2010_no_change_cnt,2011_no_change_cnt,2012_no_change_cnt,2013_no_change_cnt,2014_no_change_cnt,2015_no_change_cnt,2016_no_change_cnt,2017_no_change_cnt,2018_no_change_cnt,2019_no_change_cnt,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
10,11379,5.0,5.0,6.0,2.0,5.0,4.0,4.0,5.0,2.0,1.0,44.0,47.0,46.0,45.0,29.0,40.0,49.0,37.0,21.0,6.0,45.0,36.0,51.0,43.0,43.0,49.0,51.0,39.0,20.0,4.0,10.0,9.0,7.0,9.0,4.0,10.0,1.0,9.0,1.0,,78.0,82.0,91.0,78.0,72.0,81.0,97.0,84.0,22.0,7.0,5936641.0,7780882.0,19494742.0,7840213.0,7993092.0,8190393.0,31488145.0,8378304.0,30287437.0,1735591.0,poor,fair,good,poor,poor,poor,good,poor,good,poor
11,10803,,1.0,,,,,,,,,1.0,,2.0,1.0,,1.0,4.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,,4500.0,163000.0,225705.0,26000.0,8000.0,26375.0,113025.0,86046.0,91837.0,0.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
12,11364,,,,4.0,1.0,10.0,4.0,4.0,,1.0,22.0,45.0,29.0,33.0,43.0,37.0,48.0,41.0,13.0,10.0,28.0,50.0,46.0,38.0,39.0,41.0,44.0,34.0,11.0,3.0,6.0,7.0,4.0,5.0,7.0,7.0,5.0,9.0,,,37.0,41.0,40.0,64.0,74.0,81.0,83.0,64.0,22.0,14.0,4500596.0,5383662.0,5392621.0,9180849.0,9613090.0,9293555.0,8892998.0,18184698.0,2213860.0,6554588.0,poor,poor,poor,poor,poor,poor,poor,fair,poor,fair
13,11109,4.0,10.0,4.0,9.0,19.0,20.0,13.0,25.0,9.0,8.0,76.0,92.0,100.0,122.0,150.0,123.0,199.0,151.0,82.0,71.0,49.0,60.0,64.0,53.0,75.0,48.0,171.0,82.0,43.0,58.0,9.0,4.0,7.0,16.0,4.0,12.0,14.0,14.0,6.0,1.0,107.0,133.0,160.0,161.0,207.0,173.0,257.0,199.0,112.0,98.0,12278141.0,10737760.0,10816698.0,23420117.0,19612810.0,16238404.0,25494320.0,46943491.0,20182050.0,8030211.0,fair,fair,fair,good,fair,fair,fair,good,good,fair
14,10012,132.0,165.0,139.0,184.0,189.0,182.0,198.0,186.0,246.0,104.0,513.0,587.0,547.0,617.0,588.0,646.0,655.0,593.0,303.0,145.0,236.0,277.0,271.0,281.0,266.0,327.0,274.0,252.0,216.0,96.0,61.0,58.0,62.0,66.0,48.0,69.0,71.0,55.0,48.0,36.0,996.0,1198.0,1116.0,1222.0,1226.0,1287.0,1267.0,1178.0,884.0,450.0,100224183.0,140865348.0,150205938.0,180611282.0,247771435.0,246515968.0,225078255.0,189115881.0,242714710.0,108777672.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
15,11001,1.0,,,1.0,,,,1.0,,,3.0,1.0,2.0,7.0,9.0,3.0,14.0,9.0,1.0,2.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,5.0,1.0,,1.0,,2.0,,11.0,,,,,,9.0,7.0,8.0,7.0,14.0,8.0,8.0,11.0,3.0,3.0,129020.0,567175.0,691470.0,211300.0,622608.0,1137873.0,607089.0,871573.0,30000.0,37450.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
16,11385,1.0,3.0,4.0,8.0,6.0,6.0,9.0,7.0,3.0,,44.0,34.0,50.0,48.0,72.0,69.0,80.0,49.0,19.0,15.0,33.0,30.0,33.0,33.0,44.0,47.0,55.0,40.0,26.0,18.0,2.0,5.0,11.0,1.0,4.0,4.0,5.0,4.0,3.0,,89.0,91.0,97.0,100.0,103.0,111.0,140.0,125.0,40.0,23.0,30118627.0,3659086.0,5488662.0,13098104.0,10813960.0,12345196.0,9594044.0,11917046.0,6107359.0,6234323.0,good,poor,poor,fair,poor,fair,poor,poor,poor,fair
17,11238,10.0,15.0,18.0,16.0,30.0,19.0,23.0,26.0,21.0,15.0,188.0,181.0,225.0,237.0,332.0,354.0,330.0,326.0,112.0,44.0,92.0,116.0,128.0,140.0,156.0,158.0,177.0,176.0,72.0,32.0,19.0,14.0,18.0,11.0,36.0,26.0,45.0,19.0,12.0,3.0,295.0,294.0,348.0,355.0,520.0,501.0,484.0,486.0,216.0,103.0,29993901.0,44734602.0,81462644.0,41069769.0,84296574.0,57642812.0,74004787.0,85403305.0,28795805.0,24608030.0,good,excellent,excellent,good,excellent,good,excellent,excellent,good,good
18,10039,3.0,1.0,3.0,6.0,8.0,7.0,12.0,7.0,5.0,1.0,104.0,103.0,67.0,89.0,144.0,130.0,110.0,101.0,27.0,14.0,44.0,44.0,39.0,61.0,73.0,59.0,53.0,52.0,31.0,11.0,2.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,4.0,1.0,154.0,134.0,95.0,120.0,201.0,236.0,171.0,158.0,144.0,53.0,15628697.0,23404653.0,10416955.0,15432770.0,28246113.0,33567702.0,26828998.0,14260904.0,19998071.0,5763198.0,fair,good,fair,fair,good,good,good,fair,fair,fair
19,11427,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,13.0,11.0,37.0,19.0,31.0,40.0,69.0,46.0,7.0,5.0,13.0,16.0,37.0,27.0,29.0,31.0,34.0,31.0,10.0,9.0,4.0,2.0,2.0,2.0,,2.0,2.0,1.0,3.0,,21.0,30.0,45.0,43.0,73.0,72.0,95.0,75.0,19.0,13.0,2192109.0,3553833.0,5361515.0,5290859.0,5385640.0,6153066.0,6241233.0,13263816.0,2577336.0,1519684.0,poor,poor,poor,poor,poor,poor,poor,fair,poor,poor
20,11367,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,,,46.0,44.0,57.0,61.0,101.0,99.0,70.0,61.0,26.0,20.0,37.0,25.0,37.0,31.0,43.0,34.0,37.0,25.0,16.0,8.0,3.0,9.0,5.0,7.0,3.0,8.0,2.0,3.0,2.0,,65.0,64.0,80.0,69.0,144.0,138.0,96.0,84.0,41.0,20.0,27787447.0,17700017.0,7877533.0,11141281.0,63272146.0,64311566.0,17921277.0,11589688.0,24885519.0,8969763.0,good,good,fair,fair,excellent,excellent,fair,poor,good,good
21,10038,13.0,22.0,21.0,22.0,33.0,27.0,34.0,31.0,37.0,27.0,88.0,75.0,83.0,99.0,94.0,126.0,114.0,88.0,54.0,23.0,24.0,34.0,36.0,44.0,48.0,50.0,57.0,32.0,34.0,12.0,10.0,4.0,6.0,8.0,6.0,3.0,8.0,5.0,1.0,4.0,147.0,149.0,133.0,175.0,195.0,198.0,169.0,151.0,129.0,79.0,12111033.0,18014418.0,47141985.0,80925040.0,37449896.0,45749927.0,40751238.0,71768113.0,39540243.0,19068920.0,fair,good,excellent,excellent,good,good,good,excellent,good,good
22,10152,89.0,126.0,122.0,125.0,126.0,142.0,126.0,126.0,127.0,75.0,99.0,100.0,108.0,120.0,82.0,127.0,122.0,113.0,87.0,50.0,25.0,76.0,55.0,48.0,29.0,35.0,38.0,29.0,36.0,12.0,22.0,19.0,17.0,8.0,15.0,7.0,15.0,12.0,12.0,5.0,265.0,307.0,286.0,308.0,274.0,333.0,299.0,288.0,265.0,158.0,54995404.0,84658386.0,52780861.0,83844730.0,59774436.0,68830494.0,96859205.0,135684159.0,118822036.0,62888640.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
23,10470,2.0,1.0,,2.0,2.0,7.0,5.0,1.0,6.0,2.0,52.0,49.0,60.0,46.0,41.0,43.0,54.0,41.0,10.0,5.0,24.0,26.0,31.0,23.0,34.0,19.0,31.0,17.0,7.0,2.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,,,74.0,78.0,85.0,78.0,58.0,73.0,96.0,69.0,25.0,10.0,8611462.0,9596276.0,5324485.0,11425098.0,8454033.0,15010479.0,8374470.0,6299704.0,9643150.0,912876.0,fair,fair,poor,fair,poor,fair,poor,poor,fair,poor
24,10009,25.0,19.0,27.0,31.0,35.0,45.0,47.0,28.0,76.0,85.0,220.0,297.0,309.0,270.0,312.0,320.0,326.0,283.0,131.0,51.0,457.0,688.0,197.0,117.0,127.0,189.0,175.0,197.0,73.0,44.0,12.0,6.0,11.0,22.0,33.0,23.0,18.0,8.0,13.0,4.0,840.0,1136.0,595.0,571.0,610.0,630.0,666.0,565.0,441.0,245.0,26169340.0,47185706.0,56557929.0,45814146.0,61925233.0,78869115.0,74863502.0,76160120.0,63715240.0,39753160.0,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
25,11355,19.0,30.0,14.0,32.0,33.0,71.0,45.0,39.0,41.0,12.0,202.0,187.0,192.0,178.0,188.0,237.0,225.0,219.0,95.0,44.0,119.0,151.0,132.0,133.0,126.0,174.0,168.0,169.0,63.0,30.0,15.0,28.0,34.0,20.0,16.0,31.0,29.0,34.0,7.0,6.0,320.0,342.0,306.0,309.0,321.0,380.0,339.0,355.0,197.0,85.0,48382799.0,32468757.0,24333214.0,29828172.0,41277151.0,69223592.0,61959382.0,33800871.0,27885380.0,9805566.0,excellent,good,good,good,good,excellent,good,good,good,good
26,10464,,,1.0,2.0,,1.0,3.0,1.0,,1.0,15.0,12.0,9.0,11.0,8.0,16.0,10.0,10.0,2.0,5.0,12.0,9.0,9.0,10.0,16.0,12.0,29.0,7.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,,4.0,2.0,,,20.0,17.0,14.0,20.0,18.0,23.0,11.0,15.0,3.0,6.0,4890276.0,1165881.0,534960.0,1172154.0,1998736.0,978307.0,761905.0,817532.0,213635.0,233497.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
27,11239,1.0,1.0,2.0,2.0,15.0,14.0,5.0,5.0,,2.0,51.0,51.0,39.0,66.0,70.0,64.0,61.0,62.0,25.0,13.0,29.0,69.0,17.0,44.0,85.0,32.0,22.0,19.0,9.0,2.0,,1.0,,1.0,,,6.0,1.0,,,69.0,77.0,52.0,87.0,135.0,117.0,81.0,93.0,29.0,12.0,13909266.0,6315686.0,13692777.0,4992967.0,11510957.0,13689131.0,4188129.0,22395354.0,8263841.0,5952880.0,fair,fair,fair,poor,fair,fair,poor,fair,fair,fair
