,zip1,2010modify_cnt,2011modify_cnt,2012modify_cnt,2013modify_cnt,2014modify_cnt,2015modify_cnt,2016modify_cnt,2017modify_cnt,2018modify_cnt,2019modify_cnt,2010install_cnt,2011install_cnt,2012install_cnt,2013install_cnt,2014install_cnt,2015install_cnt,2016install_cnt,2017install_cnt,2018install_cnt,2019install_cnt,2010renovate_cnt,2011renovate_cnt,2012renovate_cnt,2013renovate_cnt,2015renovate_cnt,2016renovate_cnt,2017renovate_cnt,2018renovate_cnt,2010convert_cnt,2011convert_cnt,2012convert_cnt,2013convert_cnt,2014convert_cnt,2015convert_cnt,2016convert_cnt,2017convert_cnt,2018convert_cnt,2019convert_cnt,2010restore_cnt,2011restore_cnt,2012restore_cnt,2013restore_cnt,2014restore_cnt,2015restore_cnt,2016restore_cnt,2017restore_cnt,2018restore_cnt,2019restore_cnt,2010new_cnt,2011new_cnt,2012new_cnt,2013new_cnt,2014new_cnt,2015new_cnt,2016new_cnt,2017new_cnt,2018new_cnt,2019new_cnt,2010remove_cnt,2011remove_cnt,2012remove_cnt,2013remove_cnt,2014remove_cnt,2015remove_cnt,2016remove_cnt,2017remove_cnt,2018remove_cnt,2019remove_cnt,2010demolition_cnt,2011demolition_cnt,2012demolition_cnt,2013demolition_cnt,2014demolition_cnt,2015demolition_cnt,2016demolition_cnt,2017demolition_cnt,2018demolition_cnt,2019demolition_cnt,2010no_change_cnt,2011no_change_cnt,2012no_change_cnt,2013no_change_cnt,2014no_change_cnt,2015no_change_cnt,2016no_change_cnt,2017no_change_cnt,2018no_change_cnt,2019no_change_cnt
14,11223,13.0,6.0,8.0,15.0,9.0,18.0,19.0,11.0,11.0,7.0,163.0,165.0,169.0,129.0,164.0,193.0,146.0,139.0,57.0,16.0,,1.0,,,,,,,14.0,12.0,14.0,11.0,16.0,14.0,19.0,9.0,2.0,1.0,8.0,7.0,5.0,6.0,5.0,1.0,3.0,3.0,,1.0,110.0,118.0,120.0,124.0,100.0,131.0,117.0,108.0,39.0,21.0,35.0,36.0,28.0,25.0,49.0,55.0,41.0,28.0,13.0,17.0,26.0,37.0,30.0,28.0,33.0,38.0,35.0,32.0,6.0,4.0,299.0,313.0,275.0,247.0,294.0,339.0,284.0,245.0,111.0,47.0
15,10028,44.0,58.0,71.0,110.0,74.0,58.0,70.0,76.0,55.0,18.0,392.0,465.0,474.0,513.0,470.0,462.0,527.0,393.0,220.0,123.0,,,1.0,,1.0,1.0,,1.0,6.0,10.0,12.0,12.0,14.0,10.0,11.0,5.0,1.0,3.0,15.0,22.0,26.0,16.0,6.0,11.0,23.0,20.0,12.0,4.0,177.0,195.0,211.0,263.0,225.0,200.0,218.0,187.0,172.0,86.0,121.0,101.0,128.0,125.0,115.0,145.0,148.0,106.0,110.0,76.0,37.0,42.0,49.0,51.0,53.0,44.0,39.0,52.0,39.0,20.0,738.0,892.0,936.0,974.0,962.0,982.0,1054.0,796.0,618.0,329.0
16,10112,33.0,26.0,22.0,64.0,57.0,43.0,48.0,47.0,43.0,26.0,67.0,55.0,42.0,57.0,44.0,39.0,52.0,44.0,35.0,18.0,1.0,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,30.0,28.0,17.0,21.0,31.0,25.0,23.0,16.0,9.0,7.0,36.0,15.0,17.0,34.0,19.0,20.0,23.0,24.0,27.0,10.0,8.0,5.0,1.0,2.0,1.0,6.0,3.0,6.0,3.0,8.0,119.0,109.0,81.0,148.0,124.0,104.0,100.0,109.0,93.0,57.0
17,10027,5.0,18.0,19.0,23.0,29.0,47.0,53.0,66.0,42.0,26.0,176.0,177.0,202.0,187.0,180.0,177.0,185.0,159.0,99.0,65.0,1.0,,,2.0,,,,,5.0,8.0,9.0,7.0,,7.0,6.0,3.0,1.0,2.0,15.0,5.0,7.0,6.0,4.0,3.0,4.0,,7.0,7.0,56.0,72.0,73.0,97.0,75.0,99.0,87.0,95.0,64.0,42.0,33.0,27.0,32.0,37.0,35.0,33.0,42.0,39.0,37.0,14.0,50.0,26.0,9.0,11.0,14.0,17.0,20.0,13.0,9.0,12.0,246.0,260.0,301.0,276.0,293.0,391.0,405.0,304.0,217.0,122.0
18,10471,3.0,4.0,6.0,5.0,3.0,6.0,11.0,13.0,1.0,2.0,31.0,50.0,39.0,45.0,38.0,77.0,55.0,44.0,23.0,13.0,,,,,,1.0,,,3.0,3.0,1.0,,4.0,1.0,4.0,2.0,,,2.0,2.0,3.0,7.0,1.0,1.0,5.0,1.0,,2.0,23.0,20.0,20.0,24.0,32.0,44.0,33.0,18.0,18.0,8.0,8.0,9.0,12.0,8.0,8.0,8.0,11.0,13.0,8.0,2.0,,3.0,5.0,2.0,2.0,3.0,9.0,2.0,2.0,,63.0,70.0,58.0,57.0,61.0,89.0,90.0,64.0,31.0,20.0
19,11104,4.0,6.0,1.0,8.0,2.0,9.0,12.0,6.0,3.0,2.0,73.0,67.0,81.0,98.0,82.0,93.0,79.0,69.0,25.0,13.0,1.0,,,,,,,,4.0,5.0,8.0,10.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,,1.0,4.0,,1.0,4.0,6.0,1.0,1.0,36.0,21.0,35.0,45.0,46.0,48.0,43.0,51.0,22.0,11.0,20.0,16.0,11.0,25.0,12.0,18.0,15.0,19.0,10.0,10.0,3.0,3.0,5.0,6.0,4.0,12.0,7.0,3.0,,2.0,121.0,117.0,127.0,139.0,126.0,134.0,130.0,119.0,61.0,32.0
20,10013,96.0,92.0,90.0,93.0,102.0,111.0,120.0,96.0,100.0,79.0,201.0,233.0,267.0,252.0,238.0,270.0,306.0,281.0,184.0,88.0,,1.0,,,,,,,7.0,9.0,8.0,11.0,14.0,7.0,7.0,5.0,4.0,4.0,4.0,11.0,7.0,6.0,3.0,2.0,6.0,2.0,5.0,1.0,88.0,108.0,121.0,112.0,119.0,100.0,113.0,92.0,83.0,42.0,55.0,69.0,74.0,60.0,56.0,71.0,93.0,97.0,99.0,47.0,23.0,37.0,36.0,46.0,38.0,42.0,39.0,33.0,34.0,15.0,386.0,412.0,429.0,458.0,440.0,507.0,557.0,447.0,334.0,207.0
21,10111,108.0,188.0,194.0,154.0,166.0,209.0,207.0,232.0,185.0,114.0,114.0,166.0,145.0,162.0,173.0,154.0,176.0,174.0,118.0,51.0,1.0,,,,,,,,,,,,2.0,,,,1.0,,2.0,4.0,,1.0,2.0,,,5.0,1.0,,32.0,63.0,47.0,32.0,48.0,59.0,65.0,66.0,46.0,28.0,51.0,95.0,77.0,89.0,101.0,80.0,82.0,69.0,62.0,23.0,34.0,45.0,26.0,36.0,27.0,51.0,46.0,28.0,39.0,18.0,297.0,464.0,426.0,386.0,423.0,413.0,445.0,439.0,353.0,175.0
22,10119,94.0,158.0,115.0,128.0,143.0,121.0,110.0,158.0,131.0,87.0,154.0,230.0,248.0,198.0,194.0,207.0,215.0,174.0,119.0,72.0,,1.0,,,,,,,3.0,4.0,2.0,,4.0,6.0,12.0,3.0,4.0,,4.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,,82.0,75.0,81.0,56.0,81.0,90.0,103.0,81.0,73.0,47.0,55.0,84.0,101.0,68.0,66.0,53.0,64.0,59.0,50.0,39.0,14.0,22.0,31.0,27.0,33.0,49.0,61.0,66.0,38.0,10.0,362.0,508.0,465.0,454.0,457.0,460.0,503.0,508.0,399.0,224.0
23,10034,4.0,5.0,4.0,5.0,10.0,17.0,19.0,11.0,8.0,2.0,181.0,162.0,160.0,185.0,175.0,217.0,209.0,220.0,87.0,41.0,,,,1.0,,,,,5.0,15.0,3.0,5.0,5.0,11.0,3.0,8.0,4.0,1.0,8.0,6.0,4.0,10.0,8.0,6.0,7.0,4.0,4.0,4.0,69.0,73.0,63.0,90.0,91.0,123.0,151.0,137.0,95.0,39.0,21.0,23.0,12.0,33.0,17.0,49.0,65.0,40.0,35.0,20.0,1.0,4.0,5.0,4.0,7.0,7.0,11.0,,1.0,1.0,287.0,269.0,254.0,329.0,308.0,341.0,390.0,387.0,223.0,116.0
24,10153,151.0,224.0,215.0,282.0,254.0,253.0,236.0,238.0,157.0,114.0,264.0,312.0,308.0,365.0,325.0,322.0,288.0,306.0,143.0,97.0,,,1.0,,,,,,4.0,1.0,3.0,7.0,4.0,2.0,4.0,2.0,4.0,2.0,10.0,11.0,6.0,6.0,3.0,12.0,2.0,,6.0,2.0,95.0,115.0,106.0,166.0,123.0,131.0,122.0,127.0,74.0,55.0,83.0,106.0,102.0,122.0,116.0,124.0,97.0,92.0,89.0,47.0,77.0,91.0,86.0,86.0,68.0,51.0,74.0,61.0,51.0,33.0,609.0,681.0,665.0,808.0,796.0,741.0,724.0,723.0,468.0,301.0
