boro,boro_name,postcode,avg_growth,categorization,10_11growth,10_11_cat,11_12growth,11_12_cat,12_13growth,12_13_cat,13_14growth,13_14_cat,14_15growth,14_15_cat,15_16growth,15_16_cat,16_17growth,16_17_cat,17_18growth,17_18_cat,_c0,2010_modify_cnt,2011_modify_cnt,2012_modify_cnt,2013_modify_cnt,2014_modify_cnt,2015_modify_cnt,2016_modify_cnt,2017_modify_cnt,2018_modify_cnt,2019_modify_cnt,2010_install_cnt,2011_install_cnt,2012_install_cnt,2013_install_cnt,2014_install_cnt,2015_install_cnt,2016_install_cnt,2017_install_cnt,2018_install_cnt,2019_install_cnt,2010_new_cnt,2011_new_cnt,2012_new_cnt,2013_new_cnt,2014_new_cnt,2015_new_cnt,2016_new_cnt,2017_new_cnt,2018_new_cnt,2019_new_cnt,2010_demolition_cnt,2011_demolition_cnt,2012_demolition_cnt,2013_demolition_cnt,2014_demolition_cnt,2015_demolition_cnt,2016_demolition_cnt,2017_demolition_cnt,2018_demolition_cnt,2019_demolition_cnt,2010_no_change_cnt,2011_no_change_cnt,2012_no_change_cnt,2013_no_change_cnt,2014_no_change_cnt,2015_no_change_cnt,2016_no_change_cnt,2017_no_change_cnt,2018_no_change_cnt,2019_no_change_cnt,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat,2010_job_time,2011_job_time,2012_job_time,2013_job_time,2014_job_time,2015_job_time,2016_job_time,2017_job_time,2018_job_time,2019_job_time
1,Manhattan,10037,0.13804073112783707,excellent,0.009317057046906578,fair,-0.03424453559829143,poor,0.05667439479851437,excellent,0.13929818950746933,excellent,0.079624596612898,good,0.16674399878997595,excellent,0.17356344413960728,excellent,0.12438226335498526,good,138,4.0,14.0,8.0,10.0,9.0,13.0,11.0,13.0,8.0,9.0,129.0,93.0,148.0,116.0,114.0,164.0,139.0,112.0,45.0,33.0,55.0,45.0,76.0,52.0,47.0,62.0,64.0,56.0,30.0,15.0,5.0,5.0,8.0,4.0,2.0,4.0,7.0,8.0,6.0,1.0,195.0,124.0,178.0,163.0,166.0,266.0,194.0,175.0,88.0,57.0,18488002.0,16191772.0,21749079.0,34894006.0,20968425.0,39110578.0,26727937.0,33469234.0,22031730.0,15342321.0,good,good,good,good,fair,good,good,good,good,good,17.680732556126078,14.624639166499058,14.363200452895757,13.512221796028866,12.179497245365388,17.059695909771705,11.274692227678841,11.376388628966314,9.146601372730274,6.969563000387614
1,Manhattan,10011,0.13646951055952755,excellent,0.14443982091591318,excellent,0.05795883005525941,excellent,0.007735918537607745,fair,0.06414035530852163,good,0.07847542329650802,good,0.2791449442874138,excellent,0.06093147417138897,fair,0.11308237775586126,good,38,155.0,229.0,224.0,253.0,339.0,317.0,222.0,240.0,209.0,131.0,653.0,778.0,802.0,744.0,829.0,803.0,725.0,689.0,382.0,191.0,316.0,349.0,382.0,375.0,369.0,363.0,319.0,305.0,264.0,146.0,54.0,88.0,67.0,88.0,94.0,90.0,78.0,74.0,64.0,34.0,1273.0,1521.0,1475.0,1584.0,1790.0,1745.0,1504.0,1477.0,1087.0,597.0,146871745.0,224793646.0,221807284.0,323941465.0,333337471.0,417360665.0,243194230.0,276382847.0,271042734.0,172823946.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,27.954635839192633,23.80773168119363,21.662486321657813,19.344882650895375,15.854301015769163,17.79863370692283,13.962630952444139,10.750543341489715,11.218467890502984,7.273151924347219
2,Bronx,10454,0.13512987479980212,excellent,-0.005247600330843283,fair,0.04724009460741672,excellent,0.013975982798731485,good,0.03147584176386808,fair,0.06180244638593644,fair,0.09186295857663163,fair,0.11947440566250744,good,0.2451152438524268,excellent,102,1.0,3.0,2.0,2.0,3.0,3.0,4.0,7.0,7.0,"",88.0,88.0,104.0,91.0,116.0,73.0,109.0,78.0,26.0,25.0,32.0,32.0,52.0,41.0,38.0,28.0,41.0,38.0,27.0,23.0,1.0,4.0,5.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,120.0,106.0,142.0,119.0,159.0,117.0,143.0,109.0,49.0,45.0,7107642.0,23949082.0,30447715.0,9497386.0,27378169.0,23236207.0,8778142.0,27030197.0,20946253.0,46525413.0,fair,good,good,fair,good,fair,poor,good,good,excellent,18.59459706316635,14.312612957598,12.686227728952561,13.14141502598265,13.01430766279592,12.446325902504253,11.275061166700459,10.308181577332338,9.295399400243479,5.988979071664249
1,Manhattan,10010,0.13407540466631646,excellent,0.20030730438783453,excellent,-0.011023672455192805,poor,0.2955883712050969,excellent,0.19997284587589917,excellent,0.05809208963375508,poor,0.1242354261278147,good,0.07128096918854604,good,0.043951675418817886,poor,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37.5761017172911,25.475312450842715,23.502003451814524,18.58129099983326,16.686599346963284,16.543270592778974,12.878858274259116,12.702355577487342,12.04144967785703,6.827158496732037
3,Brooklyn,11231,0.13362300618026768,excellent,-0.02266809513590181,poor,0.0746797231404783,excellent,0.04067699162118648,excellent,0.12272008155923839,excellent,0.07376934403178192,fair,0.14066856168208997,good,0.18927262767090722,excellent,0.18406736036665236,excellent,39,10.0,8.0,8.0,11.0,11.0,19.0,19.0,14.0,9.0,10.0,198.0,206.0,276.0,271.0,373.0,265.0,289.0,262.0,97.0,45.0,103.0,117.0,146.0,125.0,133.0,137.0,166.0,111.0,68.0,25.0,16.0,17.0,26.0,17.0,28.0,18.0,29.0,26.0,11.0,4.0,325.0,316.0,406.0,426.0,538.0,410.0,470.0,365.0,166.0,81.0,32365034.0,34211428.0,40190886.0,40465223.04,56111973.0,83983764.0,78727709.0,59380018.0,228127867.0,30652223.0,good,good,good,good,excellent,excellent,excellent,excellent,excellent,excellent,20.80536381206004,27.634294931447197,24.337023829338566,20.51836031132959,20.334295326962135,23.625270754789305,19.657085464827585,13.288557475238722,10.026788998981568,4.901956897734852
3,Brooklyn,11211,0.13301088449380008,excellent,-0.022832983328572636,poor,0.11022645343086862,excellent,0.052249482572954364,excellent,0.10102473950393497,excellent,0.1449215879626513,excellent,0.1925969214388005,excellent,0.19506540097909125,excellent,0.131206433828735,excellent,145,13.0,13.0,24.0,21.0,36.0,26.0,35.0,39.0,15.0,5.0,337.0,334.0,375.0,490.0,509.0,556.0,563.0,548.0,179.0,72.0,182.0,178.0,205.0,253.0,218.0,244.0,243.0,210.0,127.0,49.0,18.0,18.0,31.0,41.0,59.0,76.0,55.0,66.0,16.0,6.0,470.0,491.0,505.0,627.0,654.0,711.0,740.0,685.0,298.0,125.0,34335723.0,55716413.0,72399252.0,86481914.0,88856207.0,80751704.0,101444448.0,93178362.0,88052188.0,25325129.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,23.777425576353014,16.81179485024078,21.317754718380566,20.823453556014996,18.34532570032265,16.512068461270385,14.47509557238208,11.531459572415484,9.916000068217576,6.341975826420316
3,Brooklyn,11206,0.13299164032092506,excellent,0.0013913538783249069,fair,0.04269839329383798,good,-0.04074864292276174,poor,0.08352686771528346,excellent,0.1366630152376932,excellent,0.1993491477659356,excellent,0.2011554687495779,excellent,0.14316004144688135,excellent,92,7.0,8.0,5.0,15.0,8.0,23.0,7.0,6.0,8.0,5.0,127.0,128.0,155.0,166.0,298.0,390.0,283.0,228.0,102.0,54.0,59.0,78.0,78.0,92.0,104.0,146.0,115.0,118.0,43.0,31.0,5.0,8.0,11.0,12.0,29.0,38.0,17.0,20.0,9.0,4.0,166.0,167.0,218.0,225.0,374.0,477.0,330.0,288.0,108.0,66.0,25319006.0,30025639.0,40793826.0,28396606.0,37774157.0,51885815.0,53684084.0,51759774.0,32353499.0,25725018.0,good,good,excellent,good,good,good,good,good,good,good,18.803593347771475,16.55709886711942,16.723049537834555,16.593775732584277,15.188113191450592,14.679287679270804,15.175699827071874,12.797754104357239,8.937782881932156,5.908557770387276
1,Manhattan,10036,0.13120443496240214,excellent,0.08150607403631094,excellent,1.4237433080916557,excellent,0.20973849734133918,excellent,0.17467425788769894,excellent,0.08298938101787823,good,0.12878189731159623,good,0.026834289882182255,poor,0.10582692327573433,fair,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",33.05473992974795,27.492021636874515,25.044189852480137,21.854735780013666,17.413348225785633,17.29498955291392,11.655052044689866,9.393680299869091,13.09475497207,8.009691528779936
2,Bronx,10451,0.1283186844515227,excellent,0.0906391313167597,excellent,0.002661050356435318,poor,0.0583386204691978,excellent,0.06057652569333261,good,0.15327255164169118,excellent,0.10387182111110466,fair,0.06596312447654246,fair,0.17424621825699702,excellent,81,14.0,19.0,17.0,14.0,18.0,22.0,37.0,17.0,12.0,6.0,129.0,117.0,113.0,114.0,122.0,116.0,161.0,123.0,60.0,28.0,83.0,60.0,53.0,50.0,40.0,59.0,64.0,60.0,43.0,22.0,4.0,14.0,7.0,4.0,4.0,5.0,12.0,6.0,4.0,7.0,186.0,160.0,168.0,181.0,186.0,181.0,251.0,189.0,102.0,62.0,54421690.0,72506334.0,26889733.0,23791768.0,20692874.0,22458616.0,56457279.0,49138657.0,33575259.0,14538205.0,excellent,excellent,good,good,fair,fair,good,good,good,good,16.88839168957651,13.468915394925252,13.651099571059977,14.132261791156289,11.327241459065146,10.996345135686404,11.168473392153029,10.879227693463609,11.80420149820984,8.731759836102169
1,Manhattan,10032,0.12619602701745908,excellent,0.14778979754229665,excellent,0.02277242792121571,good,0.07840494642342492,excellent,0.07599447466715749,excellent,0.1375951667922722,excellent,0.12585689001333075,good,0.15561298692693465,excellent,0.13708457430673515,excellent,165,34.0,56.0,44.0,82.0,72.0,76.0,73.0,66.0,44.0,23.0,163.0,167.0,188.0,221.0,245.0,234.0,200.0,189.0,73.0,32.0,66.0,84.0,78.0,104.0,118.0,129.0,101.0,107.0,68.0,27.0,6.0,1.0,13.0,8.0,6.0,6.0,3.0,10.0,4.0,1.0,317.0,321.0,290.0,362.0,431.0,464.0,403.0,396.0,272.0,122.0,47282064.0,41782338.0,44248075.0,49493155.0,71891135.0,75868900.0,70362406.0,72329325.0,70632781.0,33202530.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,16.963963305462556,15.043467765141388,11.846190761502847,13.549941416203152,18.008721699829163,15.163939719865548,13.205694119907497,9.174952148003607,10.40623206099753,6.607862710027523
