year,incident_zip,avg(job_time)
"",10468,""
"",10011,""
"",10019,""
"",10036,""
"",10001,""
"",10012,""
"",10453,""
"",11355,""
"",11417,""
"",10128,""
"",10022,""
"",11211,""
"",10016,""
"",11358,""
"",11435,""
"",10021,""
"",11229,""
year,incident_zip,avg(job_time)
2010,11697,150.6717809311225
2010,10281,126.19737144510584
2010,11241,95.53517071759259
2010,11249,67.66117259455224
2010,10006,43.72290313605319
year,incident_zip,avg(job_time)
2010,10048,40.80718084490741
2010,10464,38.60922187540321
2010,11370,31.101715832063622
2010,11360,26.29122296277669
2010,11109,25.703773849607188
2010,11379,24.091860469106443
2010,10280,22.929181920359664
2010,11361,22.698196004516344
2010,11242,22.279016203703705
2010,10307,22.035504900065597
year,incident_zip,avg(job_time)
2010,11427,21.01220262326321
2010,11366,19.673488475830684
2010,11429,19.088738932585674
2010,11411,17.50247703416562
2010,10069,17.4633234778339
2010,11421,16.349290913076306
2010,10312,15.455926961728926
2010,11423,15.025140073985495
2010,11369,14.74457227192817
2010,11420,14.171570293090264
2010,11694,12.767111337980147
year,incident_zip,avg(job_time)
2010,11356,11.959447568286537
2010,11433,10.875323845128698
2010,11413,10.62513581084125
2010,11363,10.535654887947771
2010,10039,9.98635341041248
2010,10118,9.848611111111111
2010,11418,9.638926398208591
2010,10304,9.423005353321138
2010,10306,9.387341457657088
2010,11426,8.309018525037084
year,incident_zip,avg(job_time)
2010,11367,8.255983224351873
2010,10469,8.062542697876665
2010,11368,8.032325247223131
2010,11365,7.59983978907133
2010,10119,7.515927854938272
2010,10466,7.327003965533472
2010,11375,6.641187006402511
2010,10309,6.556258957583391
2010,11436,6.26700728568547
2010,11371,6.266261574074074
2010,10103,6.084722222222222
year,incident_zip,avg(job_time)
2010,11243,5.662197222222224
2010,11412,5.54651949951807
2010,11434,4.948284555039016
2010,11362,4.524099878635882
2010,11415,4.335939544431143
2010,10305,3.8218787818694544
2010,10473,3.785792649020029
2010,11234,3.653502867133058
2010,10040,3.5988647009029364
2010,10153,3.5760792824074077
year,incident_zip,avg(job_time)
2010,10034,3.464641520530217
2010,10302,3.4488696979490494
2010,11233,3.1728225896774394
2010,10112,2.9819444444444443
2010,10041,2.8697222222222223
2010,11359,2.796736111111111
2010,10123,2.1305555555555555
2010,11377,1.5869927370807735
2010,11417,1.343397669985721
2010,10031,0.8887018549130207
2010,11364,0.05419592211260575
year,incident_zip,avg(job_time)
2010,10121,0.0
2010,10037,-0.14372594058757798
2010,10457,-1.1626452776412057
2010,11691,-1.2412748453844364
2010,10471,-1.393415649562498
2010,10460,-1.3940085423053257
2010,10472,-1.6035097960191187
2010,11221,-1.8061524908719047
2010,10032,-1.8928296558592412
2010,10453,-1.9209444817805466
2010,11208,-2.0566856734173657
year,incident_zip,avg(job_time)
2010,11416,-2.180052345816788
2010,11422,-2.421704143006077
2010,11357,-2.7893397400779105
2010,10467,-3.0472780120284804
2010,11358,-3.0820844015523514
2010,11238,-3.15238549766235
2010,10023,-3.2117704109405376
2010,10458,-3.3723827288002797
2010,11692,-3.5082232622034675
2010,11213,-3.6324355279401748
year,incident_zip,avg(job_time)
2010,10459,-3.7902704002427323
2010,11219,-4.1986213981830245
2010,11218,-4.2955777462788625
2010,10465,-4.552486148670705
2010,11236,-4.6506472947424005
2010,10468,-4.769603509865677
2010,10452,-5.187935215642668
2010,11207,-6.26175443832414
2010,10025,-6.581071101672394
2010,11216,-7.092864717570915
2010,10310,-7.288580974240948
year,incident_zip,avg(job_time)
2010,10314,-7.531987386757679
2010,11419,-7.577284007917984
2010,11435,-7.929434052861077
2010,11206,-8.360653355355394
2010,11414,-9.158777838266213
2010,10462,-9.481370568218288
2010,10456,-10.239800308925904
2010,10028,-10.662601566680959
2010,11226,-10.895008973754946
2010,11203,-11.555723279092794
year,incident_zip,avg(job_time)
2010,10033,-11.873533524550792
2010,11004,-12.263354680833897
2010,10474,-12.309708472034744
2010,11228,-12.426382526830457
2010,10308,-12.42820435362116
2010,10024,-12.564904362848209
2010,11374,-12.78633669575575
2010,11373,-13.29050276489868
2010,11212,-14.024309260599344
2010,11210,-15.460267176459388
2010,11225,-15.652217974936503
year,incident_zip,avg(job_time)
2010,11428,-15.71853283551049
2010,10455,-16.292723666305605
2010,10463,-16.42238817407606
2010,11385,-16.571393354706494
2010,11232,-17.050968484365427
2010,11237,-17.140974284671465
2010,11104,-19.51961788563312
2010,11229,-19.6346948804214
2010,10027,-20.25192358570267
2010,10026,-20.253884380625117
year,incident_zip,avg(job_time)
2010,11204,-21.123388646220214
2010,10303,-21.37429012884687
2010,11211,-21.89385366588287
2010,10021,-22.25030635440705
2010,11230,-22.915657937847577
2010,11105,-23.971273716731606
2010,11224,-24.63092921460755
2010,11215,-24.989101953468857
2010,11372,-26.99830775820282
2010,10128,-27.875395800031406
2010,11102,-28.809172516465672
year,incident_zip,avg(job_time)
2010,11693,-28.953602035405552
2010,10451,-31.759413575604757
2010,10005,-32.17596163282063
2010,11205,-32.85632647494045
2010,10014,-33.1261267382271
2010,11432,-33.34942296537245
2010,10461,-33.590598280460135
2010,11214,-33.87737449762557
2010,11209,-34.070711083664015
2010,11217,-34.43121294423182
2010,10035,-34.618280301764166
year,incident_zip,avg(job_time)
2010,10030,-35.62278075930896
2010,10029,-36.5499882619532
2010,11355,-37.98062872540165
2010,10454,-39.5185124784234
2010,10470,-39.534647622103975
2010,11222,-42.95658674896099
2010,11239,-44.41022556625046
2010,11106,-46.15623062370894
2010,11231,-48.66315666891866
2010,11378,-49.851424572566565
