boro,boro_name,postcode,10_11growth,10_11_cat,11_12growth,11_12_cat,12_13growth,12_13_cat,13_14growth,13_14_cat,14_15growth,14_15_cat,15_16growth,15_16_cat,16_17growth,16_17_cat,17_18growth,17_18_cat
2,Bronx,10455,0.07049115039024853,excellent,0.0663178782963441,excellent,0.04219488148539785,excellent,0.0371303920023362,fair,0.06958388301849362,fair,0.037934124634855765,poor,0.09961255463910623,good,0.1932373148814589,excellent
3,Brooklyn,11216,-0.10102955979839678,poor,-0.03940391668123555,poor,0.03985669321668693,excellent,0.15803513212928005,excellent,0.18421005876227028,excellent,0.2469043614259226,excellent,0.24746213040906306,excellent,0.20523475437320313,excellent
5,Staten Island,10301,-0.011197174694969503,fair,0.016527644357581757,fair,-0.0013559190930950077,fair,0.0024441510969167037,poor,0.05635720113846871,poor,0.06344338223288913,poor,0.06587140245650305,fair,0.11102257861803023,good
1,Manhattan,10463,0.0902552456880805,excellent,0.05473087402526618,excellent,-0.0271171177716989,poor,-0.0569015262362272,poor,0.06558259299029803,fair,0.030201247104512736,poor,0.1823233247011409,excellent,0.0791226877515056,poor
4,Queens,11419,-0.05829867130235577,poor,-0.006734933575027638,poor,0.007948927762957088,fair,0.04316916393936495,fair,0.09606005567162826,good,0.09551817453671074,fair,0.046953823239441035,poor,0.09863223201825959,fair
3,Brooklyn,11416,-0.08889714598992726,poor,-0.08038570332895884,poor,-0.0062696557392658316,poor,0.19142146066142185,excellent,0.0302995768191891,poor,0.16005289641789805,excellent,-0.12347115038989082,poor,0.2146945523143407,excellent
4,Queens,11378,2.627185242002338E-4,fair,0.02852278801533989,good,0.017663837316229707,good,0.06473074463408866,good,0.09306030176103215,good,0.12718706020504372,good,0.059391684023954096,fair,0.11692804002699277,good
1,Manhattan,10035,0.04466880096700156,good,-0.08102601263834655,poor,0.0068218623966498524,fair,0.01200492123100077,poor,0.10978661766263359,excellent,0.1430866085793663,excellent,0.12642195412339835,excellent,0.17999261304603223,excellent
4,Queens,11371,0.028616852146263912,good,-0.1143740340030912,poor,0.09424083769633508,excellent,0.08931419457735247,excellent,0.2005856515373353,excellent,-0.01097560975609756,poor,0.055487053020961775,fair,0.14018691588785046,excellent
2,Bronx,10471,-0.023812760474911335,poor,0.024550634729176936,good,-0.004934268446621887,fair,0.029257126868595055,poor,0.056411031334187935,poor,0.09534639654909277,fair,0.10171095956821584,good,0.11559994783587427,good
4,Queens,11435,-0.015554830154513437,fair,0.04214122799395719,good,-0.0023929549679382657,fair,0.028740313124528134,poor,0.08869970992126014,good,0.11153196701972926,good,0.0588511581286255,fair,0.10667301382799113,fair
1,Manhattan,10018,0.07597827417475425,excellent,0.0669163337410165,excellent,0.10263883512766743,excellent,0.12224852008707472,excellent,0.08952359332117181,good,0.10614022533771608,good,0.06683061272177616,fair,0.14799327374374785,excellent
4,Queens,11103,0.025159912696499576,good,0.020947850688778018,fair,0.02445620286176745,good,0.06129138003365701,good,0.09613000015993488,good,0.11327699436044276,good,0.0900865435364601,good,0.1285085239721758,good
4,Queens,11429,-0.030924177298218735,poor,0.03321761540106456,good,0.013497082071199377,good,0.022317698202413475,poor,0.08078286822829646,good,0.0939820602524629,fair,0.03367804992871366,poor,0.11757702711988059,good
4,Queens,11423,0.003092052129354135,fair,0.015457466718180544,fair,-0.006137000233241045,fair,0.04032929602291621,fair,0.09343055327554467,good,0.07428513995589174,poor,0.0449819952193205,poor,0.09454655963956973,fair
5,Staten Island,10302,-0.053209818275751455,poor,0.019091647522482175,fair,-0.020215130754797854,poor,0.009297175437928821,poor,0.07404276422684655,fair,0.07498802989135234,poor,0.05825751546190271,fair,0.12015418400160556,good
1,Manhattan,10075,0.1994616802736212,excellent,-0.04943310805484036,poor,0.027129472215897732,good,0.0478426643354902,fair,0.06942885753403935,fair,0.091741803068233,fair,0.03408815725150269,poor,0.06598044280943888,poor
5,Staten Island,10305,0.0171213179034604,good,9.003003794867632E-4,poor,-0.07382956958588113,poor,0.02029421963499313,poor,0.03637785336618412,poor,0.07944860918842787,poor,0.09190785646580862,good,0.12917997481047258,good
3,Brooklyn,11249,0.2270678372865526,excellent,0.3323980492177109,excellent,0.144758045180519,excellent,0.07400209032088019,excellent,0.5054105281264072,excellent,0.13990626018049368,good,0.7283841514875876,excellent,0.1620503091256076,excellent
3,Brooklyn,11232,-0.05237208156360059,poor,0.07859420620381065,excellent,0.007466907559167881,fair,0.06436006392024686,good,0.10318377291045304,excellent,0.18542986087831723,excellent,0.1664026489901203,excellent,0.13538618826555546,excellent
