postcode,avg_growth,per_25,per_50,per_75,categorization
11249,0.2853149888541515,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11354,0.2632505401121272,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11101,0.25703302218613533,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10039,0.251483331301342,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11238,0.1827217635682081,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11201,0.1543184460544505,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11205,0.1499785157388347,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11222,0.14970528361140104,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11239,0.14700196120512302,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11216,0.13975435186076843,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10037,0.13804073112783707,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10011,0.13646951055952744,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10454,0.13512987479980212,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10010,0.13407540466631648,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11231,0.13362300618026776,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11211,0.13301088449380008,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11206,0.13299164032092503,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10036,0.13120443496240214,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10451,0.12831868445152272,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10032,0.1261960270174591,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11217,0.12537623778640147,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11221,0.1238459066574327,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11213,0.12334716150304792,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10027,0.12003157064463753,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10018,0.11763269609988951,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10455,0.11181729500108144,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10007,0.11117274226115634,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11215,0.10932707547973601,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11225,0.10903716638643716,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10001,0.10900680856587262,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10013,0.1086105054540402,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11233,0.10726901841518621,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11237,0.1052921726420204,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10006,0.10365762461900817,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10012,0.10165955508151171,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10009,0.09996458981876859,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10002,0.09937405589077208,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10031,0.09880376037488846,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10033,0.09785084388534022,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10003,0.09779132401392915,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10014,0.09742625123032185,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10026,0.09548144736664914,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10162,0.0952559949610849,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11232,0.09451878820746076,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10029,0.09343972194811129,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
10030,0.0912540806721519,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11219,0.09099931258622562,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11220,0.08953306899419924,0.04738147434972994,0.06482979314614246,0.08953306899419924,excellent
11226,0.08915280638924222,0.04738147434972994,0.06482979314614246,0.08953306899419924,good
11102,0.08839546963849358,0.04738147434972994,0.06482979314614246,0.08953306899419924,good
11218,0.08653813252205511,0.04738147434972994,0.06482979314614246,0.08953306899419924,good
11692,0.08601884337025936,0.04738147434972994,0.06482979314614246,0.08953306899419924,good
10034,0.08561577076411654,0.04738147434972994,0.06482979314614246,0.08953306899419924,good
