boro,boro_name,postcode,avg_growth,categorization
4,Queens,11004,0.04757785534278009,fair
4,Queens,11416,0.0473928244142686,poor
4,Queens,11427,0.04703168025179832,poor
5,Staten Island,10307,0.04689055241486689,poor
4,Queens,11430,0.04675722324510064,poor
4,Queens,11433,0.04666712872287871,poor
4,Queens,11434,0.04573305844888827,poor
4,Queens,11429,0.0455597275802404,poor
1,Manhattan,10004,0.045512623931415856,poor
3,Brooklyn,11208,0.04534010590080882,poor
4,Queens,11423,0.04531283093703888,poor
5,Staten Island,10301,0.04519665951045187,poor
3,Brooklyn,11234,0.04405165029943414,poor
2,Bronx,10474,0.043458202077193246,poor
5,Staten Island,10302,0.04324096460007831,poor
5,Staten Island,10305,0.04307728789247604,poor
4,Queens,11001,0.042467193283586405,poor
4,Queens,11412,0.04243332016950174,poor
4,Queens,11413,0.042401676411781004,poor
5,Staten Island,10306,0.042103297168929965,poor
4,Queens,11417,0.042082236057251955,poor
4,Queens,11691,0.04198957876614628,poor
4,Queens,11422,0.041389094119008575,poor
4,Queens,11363,0.040679814394262846,poor
4,Queens,11419,0.04067778555944108,poor
4,Queens,11420,0.040617730525350525,poor
4,Queens,11436,0.0405367730623432,poor
5,Staten Island,10308,0.04039647288039416,poor
1,Manhattan,10017,0.039708017738617776,poor
4,Queens,11694,0.03954599349669469,poor
2,Bronx,10465,0.03904163027711195,poor
5,Staten Island,10310,0.03884096737199387,poor
4,Queens,11411,0.03864438321649694,poor
2,Bronx,10472,0.03761140218060587,poor
3,Brooklyn,11416,0.03718060384560087,poor
3,Brooklyn,11236,0.03714422919869732,poor
2,Bronx,10466,0.037094764502374665,poor
2,Bronx,10469,0.03691778606961082,poor
2,Bronx,10461,0.03616874938092253,poor
5,Staten Island,10303,0.03395570143379065,poor
3,Brooklyn,11212,0.03235646562330712,poor
4,Queens,11414,0.03189950400677821,poor
4,Queens,11693,0.03178610150893997,poor
2,Bronx,10475,0.03149034459402493,poor
2,Bronx,10470,0.030994429311979606,poor
4,Queens,11005,0.02811226528475588,poor
2,Bronx,10464,0.02546133216616055,poor
1,Manhattan,10044,0.019946593762197994,poor
1,Manhattan,12345,-0.025079444110392667,poor
