boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
3,Brooklyn,11225,-0.022185748,0.033722721,0.017950371,0.08487831,0.133083764,0.202265992,0.193928982,0.175539022
4,Queens,11360,0.057303284,0.034002724,-0.017469855,0.048434149,0.060645296,0.099705667,0.042751896,0.079437107
1,Manhattan,10007,0.150300696,-0.072294078,0.052646342,0.064321747,0.030133195,0.099827145,0.16911131,0.065222706
2,Bronx,10457,0.005365397,0.024232301,0.053468817,0.029355733,0.065060943,0.091228128,0.10245398,0.130889619
2,Bronx,10464,-0.014885171,0.03527608,-0.022625529,-0.023148169,0.064298944,0.027307191,0.054512922,0.070005523
4,Queens,11377,0.043650187,0.007391345,0.063805834,0.06886722,0.087784844,0.104005023,0.066888127,0.117919986
4,Queens,11101,0.121495911,-0.004272082,0.161377394,0.066543262,0.083075525,0.151955401,0.111641046,0.264925162
4,Queens,11005,-0.079291411,1.63E-04,0.014633578,0.010420463,0.025347097,0.100948132,0.146501105,0.006175908
1,Manhattan,10023,0.164775866,0.040354509,-0.008037215,0.03771988,0.086732119,0.07678378,0.038944648,0.06271202
2,Bronx,10469,0.008549998,0.008461452,-0.01375355,-0.010465422,0.073577984,0.052413048,0.066895199,0.093785529
4,Queens,11426,0.04190091,0.012564921,-0.004601359,0.053320364,0.083430115,0.070269623,0.035167639,0.093331315
3,Brooklyn,11207,-0.023929904,-0.031307932,0.044092056,0.028534461,0.074585841,0.159635766,0.156202261,0.122378018
4,Queens,11433,-0.011297505,0.023191414,-0.004617074,0.008143512,0.078548195,0.094943002,0.027748359,0.108962121
4,Queens,11416,-0.066972854,0.018556597,0.004993336,0.034296718,0.106634992,0.112990918,0.039465788,0.123966603
1,Manhattan,10002,0.083391781,0.068708169,0.109841475,0.062913303,0.085780853,0.071696815,0.080595306,0.146299675
3,Brooklyn,11235,-0.003043777,0.060514535,-0.159160009,0.068909798,0.019587014,0.219892744,0.168109805,0.119105013
4,Queens,11418,-0.048511809,0.019332741,0.012115801,0.073276221,0.100004909,0.104394502,0.062482288,0.10071861
1,Manhattan,10026,-0.088850063,0.130658157,0.129961688,0.035673119,0.115982357,0.125828468,0.127969218,0.099769499
1,Manhattan,10030,-0.054406186,-0.023818723,0.034643876,0.037248931,0.093863291,0.197570325,0.207480969,0.11914614
