incident_zip,2010_job_time,2011_job_time,2012_job_time,2013_job_time,2014_job_time,2015_job_time,2016_job_time,2017_job_time,2018_job_time,2019_job_time
10121,0.0,59.4231121399177,0.4704614197530864,1.9056134259259259,1057.2161805555556,0.0,7.241379198966407,30.89839953703703,11.64593271072797,19.650210262345674
10462,22.817166746171022,20.325715851203654,17.906012743427027,15.339144597264019,14.760896677609571,12.51745287011547,11.242528632097075,10.968188265142311,9.326810612723287,5.7787949664655285
10468,14.52658186768816,12.926754079470596,11.234390227924923,13.974809322851737,12.858077126979213,10.801933628477347,10.73336472354848,9.672231869874881,10.472816347245866,8.472679915914718
10032,16.963963305462556,15.043467765141388,11.846190761502847,13.549941416203152,18.008721699829163,15.163939719865548,13.205694119907497,9.174952148003607,10.40623206099753,6.607862710027523
11243,5.662197222222224,23.377926311728398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,29.914878586400537,21.687113159518297,24.124619186845123,19.866886903139605,16.754715445102352,17.919319354500473,15.090249296190867,10.897761756432468,11.311058673945746,7.397682902484412
10128,27.888950836398635,26.84065261557154,21.72810780504387,20.34167764043204,17.975868033528027,16.692993013136803,13.340846309492392,10.041899441121872,9.662069690369124,5.995299113437013
10303,13.901242682172256,10.686953702837986,19.95371772671283,16.368883333922675,9.863212030397941,10.954851344277701,10.026662484373842,8.740089630306763,8.38016593289785,4.92686700000485
10022,30.98055014705303,30.311138181873055,28.66465198385654,19.19828292279071,16.8204130922086,18.26996230404954,14.42899877675086,12.27730172911972,13.178702523852136,7.368025405776859
10162,130.33899942129628,14.871993055555558,12.886613859953705,37.72722222222222,24.45345486111111,25.230993609098224,7.598279888344226,6.547553918247517,10.716170101553166,5.470868055555555
10168,0.0,0.0,0.0,0.0,0.0,0.0,63.84614197530862,9.510185613854595,37.47322638888889,18.35292619825708
10018,38.78293348330733,32.99125623040548,28.302073866334293,23.55304281232373,17.82286444453236,18.531204494315233,13.899364661096692,11.82089066175976,14.20590317451453,8.605434522737177
11106,21.901335433506038,16.014589474092517,14.61412987152872,17.372908418595877,15.580353862367796,17.563662607711816,16.65572806094603,11.126719654466955,12.029297308831676,5.197041357604212
11234,23.57214433808208,19.382115430729172,25.962533617269113,19.900107214350477,20.028402865237826,27.436428798486165,20.985867668482193,13.496839261057104,10.96327876213863,5.546015270383641
11103,29.8222140087892,20.628123178170885,17.983203962986625,19.290107360827328,16.772086789343174,18.426729169162563,16.5097032523891,13.366943162259105,10.756766111727856,5.3958422441258325
10011,27.954635839192633,23.80773168119363,21.662486321657813,19.344882650895375,15.854301015769163,17.79863370692283,13.962630952444139,10.750543341489715,11.218467890502984,7.273151924347219
11237,18.080394337149365,14.35725286626717,15.276385903835404,15.086016549574891,15.823734956836544,14.955613330503997,16.018694943939696,12.01945454449232,10.01112043138658,6.944189966059377
11693,24.56950430083808,18.221274843872855,14.534229157964331,37.72299213107416,22.32864203965567,16.71063284811578,17.622024719744832,12.098886271831494,14.115450051356214,6.004883520337402
11422,23.868497212043145,21.56148758425146,18.584446628404148,18.945311854913978,17.67935816835049,24.939006804610464,24.268208270450703,15.135131325033482,10.39457507909777,5.647989583056251
10015,0.0,0.0,0.0,0.0,15.615127314814815,0.0,0.0,0.0,0.0,0.0
11201,20.86446265918194,20.613567603935657,18.856120148447815,18.14106064232999,18.789809640024927,17.85930183323628,16.32793943520855,12.450381638173587,11.023185810673198,4.846767324638189
11694,31.630148472243746,23.00201806756472,22.299101491574774,29.23352175817196,22.991155693854523,19.586919380882875,22.083430089440952,17.516046399566967,12.820602626068599,4.904013973376403
10020,48.243609921680545,16.079606320730452,44.51756434132996,11.986346020299157,27.655830924036273,18.602069151912904,8.4501726077858,11.14251422268664,16.172169693732194,4.16930324074074
10177,0.0,0.0,0.0,0.0,5.787037037037037E-5,0.0,1.424279513888889,5.217286522633744,23.785795717592595,9.336581307870372
11241,95.53517071759259,7.200958333333334,62.711691261574074,33.70908130787037,5.2033238636363635,21.528454034391537,11.78852798821549,26.37698688271605,24.71440856481481,0.0408130787037037
11204,20.956112200358994,18.88034143227501,23.837304503068882,21.640672798348664,18.332932388571347,23.480969973438356,22.37811353006092,17.16696199534948,11.311807873728396,5.352835898528525
11213,14.947731579274325,13.564822802033152,15.351018555564318,12.94668850708491,14.282539317071983,16.41686470891862,13.43935740437278,10.127157351330627,9.363279000853401,5.732725666033588
11426,33.78029110934278,30.371382817015693,20.8325602965508,28.121003176141254,23.724796697771968,43.60862832976695,60.93273693607502,21.848162816649808,15.334784099746928,5.627257890857433
11374,28.765164208027837,20.69709735428125,19.90830644893455,19.554579749861617,21.361254554840368,16.999508667051842,16.910357362411176,14.393685118877357,10.529904834430216,4.796994842342355
11367,26.39568091968363,19.761990240576054,20.821436891725053,19.360607745387078,17.650755029812014,19.644347593146698,18.31080420592737,14.576211538305234,10.486837448322397,4.6925136858034335
10309,21.426060925875355,33.67924987431981,33.659885918529994,25.323754396496057,12.818428649462188,11.808098403876045,12.682019532695682,9.520740050922651,7.587930487424248,3.367182615124628
10010,37.5761017172911,25.475312450842715,23.502003451814524,18.58129099983326,16.686599346963284,16.543270592778974,12.878858274259116,12.702355577487342,12.04144967785703,6.827158496732037
11249,67.66117259455224,103.37511730769239,23.31435986257647,19.169920346719326,17.08316175529133,20.06963525935057,15.510066327566612,10.63040974017646,9.038608897755536,5.255026198660059
11361,36.91797657737744,29.22602594156275,29.786060854087136,30.53867121244121,29.83313580400788,34.26110202982855,31.65239494495964,18.486577265043316,12.569841371742466,5.369526935569689
